Category,Type,Votes
G,User,4
G,Total,1
Not Rated,User,4
Not Rated,Total,1
PG,User,19
PG,Total,2
PG-13,User,24
PG-13,Total,6
R,User,27
R,Total,5
TV-14,User,4
TV-14,Total,0
