Category,Your_Votes,Average_Votes
1961,0.0,0.12
1977,0.0,0.18
1985,1.0,0.12
1987,0.0,0.18
1989,0.0,0.24
1993,1.0,0.24
1994,2.0,0.47
1995,1.0,0.24
1997,1.0,0.12
2000,2.0,0.53
2006,0.0,0.41
2007,0.0,0.18
2009,1.0,0.12
2010,0.0,0.06
2011,1.0,0.18
2013,1.0,0.53
2014,1.0,0.47
