Category,Type,Votes
Mystery,User,1
Mystery,Total,0
Romance,User,9
Romance,Total,2
Biography,User,9
Biography,Total,2
Family,User,3
Family,Total,0
Horror,User,4
Horror,Total,0
Crime,User,11
Crime,Total,2
Drama,User,37
Drama,Total,7
Fantasy,User,11
Fantasy,Total,1
Animation,User,8
Animation,Total,2
Adventure,User,20
Adventure,Total,2
Action,User,15
Action,Total,2
Comedy,User,22
Comedy,Total,4
War,User,5
War,Total,0
Thriller,User,12
Thriller,Total,3
Sci-Fi,User,4
Sci-Fi,Total,0
